Time, Distance From Path, Angle From Next Waypoint
0.7378897, 0.14591, 0
0.7666985, 0.2548261, 0
0.8049989, 0.3994629, 0
0.8373365, 0.5214756, 0
0.8649136, 0.6254515, 0
0.905184, 0.7774006, 0
0.9357969, 0.8929251, 0
0.971238, 1.026686, 0
1.005955, 1.15774, 0
1.034028, 1.263706, 0
1.069904, 1.39908, 0
1.12159, 1.593845, 0
1.15417, 1.71652, 0
1.183373, 1.826481, 0
1.222195, 1.972572, 0
1.255979, 2.099693, 0
1.286335, 2.213905, 0
1.333084, 2.389748, 0
1.36657, 2.515703, 0
1.40426, 2.515703, 0
1.437837, 2.515703, 0
1.465558, 2.515703, 0
1.499259, 2.515703, 0
1.550015, 2.515703, 0
1.584751, 2.515703, 0
1.617713, 2.515703, 0
1.650207, 2.638012, 0
1.681758, 2.756668, 0
1.721367, 2.905631, 0
1.755317, 3.033353, 0
1.787473, 3.154311, 0
1.820349, 3.277961, 0
1.856234, 3.277961, 0
1.884979, 3.277961, 0
1.921116, 3.277961, 0
1.971798, 3.277961, 0
2.001103, 3.277961, 0
2.038529, 3.277961, 0
2.068783, 3.277961, 0
2.102038, 3.277961, 0
2.137197, 3.277961, 0
2.188889, 3.277961, 0
2.218693, 3.277961, 0
2.254961, 3.277961, 0
2.306004, 3.277961, 0
2.338471, 3.277961, 0
2.349224, 3.277961, 0
2.404583, 3.485718, 0
2.437612, 3.609607, 0
2.469581, 3.729507, 0
2.49896, 3.839751, 0
2.539534, 3.99192, 0
2.568388, 4.10012, 0
2.622329, 4.302548, 0
2.651691, 4.412637, 0
2.685807, 4.540559, 0
2.72309, 4.680215, 0
2.756432, 4.680215, 0
2.785661, 4.680215, 0
2.837934, 4.680215, 0
2.871224, 4.680215, 0
2.901779, 4.680215, 0
2.938056, 4.680215, 0
2.966371, 4.680215, 0
2.999442, 4.680215, 0
3.051467, 4.680215, 0
3.087632, 4.680215, 0
3.122168, 4.680215, 0
3.153602, 4.680215, 0
3.184353, 4.680215, 0
3.221349, 4.818857, 0
3.26017, 4.964318, 0
3.28413, 5.054102, 0
3.328307, 5.219706, 0
3.362538, 5.348059, 0
3.393747, 5.348059, 0
3.426055, 5.348059, 0
3.476548, 5.348059, 0
3.508175, 5.348059, 0
3.541203, 5.348059, 0
3.580613, 5.348059, 0
3.614385, 5.348059, 0
3.646565, 5.348059, 0
3.700909, 5.348059, 0
3.730786, 5.348059, 0
3.766186, 5.348059, 0
3.79804, 5.348059, 0
3.834878, 5.348059, 0
3.865457, 5.348059, 0
3.898189, 5.348059, 0
3.930205, 5.348059, 0
3.966868, 5.348059, 0
3.996449, 5.348059, 0
4.030943, 5.348059, 0
4.064316, 5.348059, 0
4.097544, 5.348059, 0
4.132175, 5.348059, 0
4.165476, 5.348059, 0
4.198633, 5.348059, 0
4.231533, 5.348059, 0
4.264092, 5.348059, 0
4.298968, 5.348059, 0
4.332171, 5.348059, 0
4.365582, 5.348059, 0
4.401087, 5.348059, 0
4.431357, 5.348059, 0
4.464454, 5.348059, 0
4.500759, 5.348059, 0
4.530847, 5.348059, 0
4.564625, 5.348059, 0
4.59824, 5.348059, 0
4.633655, 5.348059, 0
4.66352, 5.348059, 0
4.69843, 5.348059, 0
4.729695, 5.348059, 0
4.766667, 5.348059, 0
4.797753, 5.348059, 0
4.834649, 5.348059, 0
4.881021, 5.348059, 0
4.915518, 5.348059, 0
4.948248, 5.348059, 0
4.979903, 5.348059, 0
5.013359, 5.348059, 0
5.048196, 5.348059, 0
5.08093, 5.348059, 0
5.114921, 5.348059, 0
5.147603, 5.348059, 0
5.181552, 5.348059, 0
5.214399, 5.348059, 0
5.247041, 5.348059, 0
5.281769, 5.348059, 0
5.314059, 5.348059, 0
5.347479, 5.348059, 0
5.379901, 5.348059, 0
5.414599, 5.348059, 0
5.447721, 5.348059, 0
5.479364, 5.348059, 0
5.51264, 5.348059, 0
5.546081, 5.348059, 0
5.579481, 5.348059, 0
5.614172, 5.348059, 0
5.64736, 5.348059, 0
5.682734, 5.348059, 0
5.714488, 5.348059, 0
5.748233, 5.348059, 0
5.779774, 5.348059, 0
5.809407, 5.348059, 0
5.849951, 5.348059, 0
5.880562, 5.348059, 0
5.915618, 5.348059, 0
5.94734, 5.348059, 0
5.978312, 5.348059, 0
6.013044, 5.348059, 0
6.048968, 5.348059, 0
6.072353, 5.348059, 0
6.112507, 5.348059, 0
6.144071, 5.348059, 0
6.177195, 5.348059, 0
6.212328, 5.348059, 0
6.250835, 5.348059, 0
6.281209, 5.348059, 0
6.312222, 5.348059, 0
6.340646, 5.348059, 0
6.379478, 5.348059, 0
6.412768, 5.348059, 0
6.44302, 5.348059, 0
6.479058, 5.348059, 0
6.516364, 5.348059, 0
6.546422, 5.348059, 0
6.580409, 5.348059, 0
6.613209, 5.348059, 0
6.645811, 5.348059, 0
6.676831, 5.348059, 0
6.712275, 5.348059, 0
6.747379, 5.348059, 0
6.780734, 5.348059, 0
6.813678, 5.348059, 0
6.84522, 5.348059, 0
6.882583, 5.348059, 0
6.913168, 5.348059, 0
6.949105, 5.348059, 0
6.976621, 5.348059, 0
7.012021, 5.348059, 0
7.047226, 5.348059, 0
7.075053, 5.348059, 0
7.113107, 5.348059, 0
7.145515, 5.348059, 0
7.179352, 5.348059, 0
7.214996, 5.348059, 0
7.246835, 5.348059, 0
7.281045, 5.348059, 0
7.31711, 5.348059, 0
7.346889, 5.348059, 0
7.376287, 5.348059, 0
7.41334, 5.348059, 0
7.448051, 5.348059, 0
7.479421, 5.348059, 0
7.51261, 5.348059, 0
7.545918, 5.348059, 0
7.580623, 5.348059, 0
7.613144, 5.348059, 0
7.647136, 5.348059, 0
7.68042, 5.348059, 0
7.712485, 5.348059, 0
7.747414, 5.348059, 0
7.78289, 5.348059, 0
7.810932, 5.348059, 0
7.846665, 5.348059, 0
7.880228, 5.348059, 0
7.911631, 5.348059, 0
7.946196, 5.348059, 0
7.979064, 5.348059, 0
8.012363, 5.348059, 0
8.045427, 5.348059, 0
8.079576, 5.348059, 0
8.113604, 5.348059, 0
8.146251, 5.348059, 0
8.179292, 5.348059, 0
8.212934, 5.348059, 0
8.246093, 5.348059, 0
8.279916, 5.348059, 0
8.314262, 5.348059, 0
8.345774, 5.348059, 0
8.379376, 5.348059, 0
8.425156, 5.348059, 0
8.464666, 5.348059, 0
8.492119, 5.348059, 0
8.529553, 5.348059, 0
8.560261, 5.348059, 0
8.595947, 5.348059, 0
8.629369, 5.348059, 0
8.6638, 5.348059, 0
8.696062, 5.348059, 0
8.729296, 5.348059, 0
8.762406, 5.348059, 0
8.796435, 5.348059, 0
8.828413, 5.348059, 0
8.861683, 5.348059, 0
8.895988, 5.348059, 0
8.929387, 5.348059, 0
8.963107, 5.348059, 0
8.996358, 5.348059, 0
9.028394, 5.348059, 0
9.064355, 5.348059, 0
9.098523, 5.348059, 0
9.131708, 5.348059, 0
9.163571, 5.348059, 0
9.196924, 5.348059, 0
9.232223, 5.348059, 0
9.261465, 5.348059, 0
9.296092, 5.348059, 0
9.327076, 5.348059, 0
9.362556, 5.348059, 0
9.396735, 5.348059, 0
9.428903, 5.348059, 0
9.46247, 5.348059, 0
9.495676, 5.348059, 0
9.527876, 5.348059, 0
9.563664, 5.348059, 0
9.597241, 5.348059, 0
9.629448, 5.348059, 0
9.661975, 5.348059, 0
9.69578, 5.348059, 0
9.728291, 5.348059, 0
9.76214, 5.348059, 0
9.797126, 5.348059, 0
9.828368, 5.348059, 0
9.862374, 5.348059, 0
9.895509, 5.348059, 0
9.928808, 5.348059, 0
9.963332, 5.348059, 0
9.996905, 5.348059, 0
10.03084, 5.348059, 0
10.06253, 5.416053, 0
10.09626, 5.488031, 0
10.13014, 5.55998, 0
10.16383, 5.631219, 0
10.19405, 5.695479, 0
10.21937, 5.749414, 0
10.26265, 5.841331, 0
10.2962, 5.909748, 0
10.33043, 5.909748, 0
10.36572, 5.909748, 0
10.4004, 5.909748, 0
10.4291, 5.909748, 0
10.48139, 5.909748, 0
10.51385, 5.909748, 0
10.54841, 5.909748, 0
10.57781, 5.909748, 0
10.61569, 5.993348, 0
10.64646, 6.060985, 0
10.68053, 6.13593, 0
10.71506, 6.212276, 0
10.74769, 6.284573, 0
10.78083, 6.357915, 0
10.81496, 6.433488, 0
10.84712, 6.433488, 0
10.8784, 6.433488, 0
10.92874, 6.433488, 0
10.96252, 6.433488, 0
10.99822, 6.433488, 0
11.03065, 6.433488, 0
11.06405, 6.433488, 0
11.09564, 6.433488, 0
11.1469, 6.433488, 0
11.18151, 6.433488, 0
11.21603, 6.433488, 0
11.24522, 6.433488, 0
11.27973, 6.433488, 0
11.31139, 6.433488, 0
11.34725, 6.433488, 0
11.37844, 6.433488, 0
11.4139, 6.433488, 0
11.44549, 6.433488, 0
11.47903, 6.433488, 0
11.5132, 6.433488, 0
11.54586, 6.433488, 0
11.58009, 6.433488, 0
11.61352, 6.433488, 0
11.64473, 6.433488, 0
11.6806, 6.433488, 0
11.7146, 6.510394, 0
11.74769, 6.585116, 0
11.77982, 6.657958, 0
11.81549, 6.738901, 0
11.84698, 6.810529, 0
11.88125, 6.887863, 0
11.91327, 6.887863, 0
11.948, 6.887863, 0
11.97865, 6.887863, 0
12.02991, 6.887863, 0
12.06251, 6.887863, 0
12.09758, 6.887863, 0
12.12912, 6.887863, 0
12.16426, 6.887863, 0
12.19621, 6.887863, 0
12.24482, 6.887863, 0
12.27779, 6.887863, 0
12.31133, 6.887863, 0
12.34424, 6.887863, 0
12.38244, 6.887863, 0
12.41153, 6.887863, 0
12.44465, 6.887863, 0
12.47986, 6.887863, 0
12.51361, 6.887863, 0
12.54418, 6.887863, 0
12.57894, 6.887863, 0
12.61134, 6.887863, 0
12.6461, 6.887863, 0
12.6779, 6.887863, 0
12.71186, 6.965874, 0
12.74385, 7.039656, 0
12.78045, 7.124477, 0
12.81266, 7.199284, 0
12.84616, 7.276896, 0
12.89321, 7.385759, 0
12.92945, 7.385759, 0
12.96198, 7.385759, 0
12.99589, 7.385759, 0
13.02947, 7.385759, 0
13.06279, 7.385759, 0
13.11115, 7.385759, 0
13.13863, 7.385759, 0
13.17835, 7.385759, 0
13.21347, 7.385759, 0
13.24817, 7.385759, 0
13.27631, 7.385759, 0
13.31198, 7.385759, 0
13.34422, 7.385759, 0
13.38137, 7.385759, 0
13.41065, 7.385759, 0
13.44547, 7.385759, 0
13.47892, 7.385759, 0
13.51279, 7.385759, 0
13.54527, 7.385759, 0
13.57837, 7.385759, 0
13.61143, 7.385759, 0
13.63471, 7.385759, 0
13.67952, 7.492834, 0
13.72957, 7.613302, 0
13.76223, 7.692567, 0
13.79376, 7.769602, 0
13.82804, 7.854081, 0
13.863, 7.941494, 0
13.8949, 7.941494, 0
13.92691, 7.941494, 0
13.96164, 7.941494, 0
13.98894, 7.941494, 0
14.01876, 7.941494, 0
14.05141, 7.941494, 0
14.08597, 7.941494, 0
14.11903, 7.941494, 0
14.1529, 7.941494, 0
14.21469, 7.941494, 0
14.23775, 7.941494, 0
14.26942, 7.941494, 0
14.30323, 7.941494, 0
